name,stars,sell_price,mark_price,delivery_date
"Ndola Hospital Multipara Monitor Stand with Basket, Pack - 1  ",not available,3999,9999,"Friday, 24 March"
SHINING SUN VISION Smart LED Vision Chart 19 inch  ,3.5,19499,30000,"Wednesday, 29 March"
"Regatech Compatible for Gateway NV53A46U, NV53A47U, NV53A48U, NV53A49U, NV53A50U, NV53A51U, NV53A52U, NV53A53U, NV53A56U Laptop Keyboard  ",not available,799,2499,"Tuesday, 28 March"
"Regatech Compatible for Hp G62-A70SQ, G62-A70SV, G62-A74SS, G62-A75ER, G62-A75SS, G62-A80ER, G62-A80ES, G62-A82ER, G62-A83ER Laptop Keyboard Keypad  ",not available,699,2499,"Tuesday, 28 March"
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black)  ,4.3,0,0,"Today, 22 March"
"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)  ",4.2,1799,7990,"Today, 22 March"
"Storio Kids Toys LCD Writing Tablet 8.5Inch E-Note Pad Best Birthday Gift for Girls Boys, Multicolor (SC1667)  ",3.8,237,0,"Today, 22 March"
SanDisk Cruzer Blade 64GB USB 2.0 Flash Drive  ,4.2,389,1100,"Today, 22 March"
boAt BassHeads 900 On-Ear Wired Headphones with Mic (White)  ,4.2,599,2490,"Today, 22 March"
"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows and MAC.  ",4.3,279,699,Data not available
"boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)  ",4.1,1499,3990,Data not available
"HP X1000 Wired USB Mouse with 3 Handy Buttons, Fast-Moving Scroll Wheel and Optical Sensor works on most Surfaces, 3 years warranty  ",4.3,349,649,"Today, 22 March"
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Jet Black)  ",4.0,0,0,"Today, 22 March"
GIZGA ESSENTIALS Spiral Charger Cable Protector (Set of 10) (G55)  ,4.2,0,0,Data not available
Classmate Octane Neon- Blue Gel Pens(Pack of 5)|Smooth Writing Pen|Attractive body colour for Boys & Girls|Waterproof ink for smudge free writing|Preferred by Students for Exam|Study at home essential  ,4.3,50,0,"Today, 22 March"
"Dell USB Wireless Keyboard and Mouse Set- KM3322W, Anti-Fade & Spill-Resistant Keys, up to 36 Month Battery Life, 3Y Advance Exchange Warranty, Black  ",4.2,1299,2499,"Tomorrow, 23 March"
"Regatech Compatible for Asus U31E, U31F, U31F, U31F, U31J, U31J, U31J, U31JC, U31JC, UL80AG-WX037V, UL80AG-XXXX, U30SD-RO204V Laptop Keyboard Keypad  ",not available,799,2499,"Tuesday, 28 March"
"TRI-COM ® Pure Copper RJ45 Category 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper 10/100/1000 Mbps, 10 Gigabit (Heavy Duty LD Coated PVC Outer Jacket for Outdoor, Router, 300 Meter)  ",3.9,8599,12999,"Sunday, 26 March"
"ZORBES® Desktop Monitor Stand with USB A/C Ports, Phone Stand and Mini Drawer, Support Data Transfer, Charging, Multifunction Stand Riser for Desktop, Laptop, Monitor Black  ",not available,3999,5999,"Saturday, 25 March"
"pTron Bullet Pro 36W PD Quick Charger, 3 Port Fast Car Charger Adapter - Compatible with All Smartphones & Tablets (Black)  ",4.0,0,0,"Today, 22 March"
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking, Rs 100 Off on UPI  ",4.0,0,0,"Tomorrow, 23 March"
"Tygot Adjustable Aluminium Alloy Tripod Stand Holder for Mobile Phones & Camera, 360 mm -1060 mm (42 Inch), 1/4 inch Screw + Mobile Holder Bracket  ",3.3,0,0,"Tomorrow, 23 March"
"HP v236w USB 2.0 64GB Pen Drive, Metal  ",4.2,0,0,"Today, 22 March"
"Dell MS116 1000Dpi USB Wired Optical Mouse, Led Tracking, Scrolling Wheel, Plug and Play.  ",4.5,299,650,"Today, 22 March"
"Tygot 10 Inches Big LED Ring Light for Camera, Phone tiktok YouTube Video Shooting and Makeup, 10"" inch Ring Light with 7 Feet Long Foldable and Lightweight Tripod Stand  ",3.8,0,0,"Tomorrow, 23 March"
Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5  ,4.4,0,0,"Today, 22 March"
"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)  ",4.2,0,0,"Today, 22 March"
Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black)  ,4.0,789,1995,"Today, 22 March"
boAt Bassheads 242 in Ear Wired Earphones with Mic(Active Black)  ,4.1,599,1490,"Today, 22 March"
"Fire-Boltt India's No 1 Smartwatch Brand Talk 2 Bluetooth Calling Smartwatch with Dual Button, Hands On Voice Assistance, 120 Sports Modes, in Built Mic & Speaker with IP68 Rating, 100 Off on UPI  ",4.2,0,0,"Today, 22 March"
"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)  ",4.2,0,0,"Today, 22 March"
Ndola Hospital Multipara Monitor Stand with Basket  ,not available,3999,9999,"Friday, 24 March"
Kitwe Patient Monitor Stand Wall Mount (Pack of 1 Piece)  ,not available,5399,8999,"Friday, 24 March"
"Ndola Hospital Multipara Monitor Stand with Basket, Pack - 1  ",not available,3999,9999,"Friday, 24 March"
SHINING SUN VISION Smart LED Vision Chart 19 inch  ,3.5,19499,30000,"Wednesday, 29 March"
