name,stars,sell_price,mark_price,delivery_date
Dennis Lingo Men's Solid Slim Fit Cotton Casual Shirt with Spread Collar & Full Sleeves  ,3.8,499,0,Data not available
Allen Solly Men's Slim Fit Shirt  ,3.7,688,0,Data not available
Amazon Brand - Inkast Denim Co. Men Casual Shirt  ,4.0,0,0,Data not available
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Mistry)  ,4.4,349,0,Data not available
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Patta)  ,4.5,349,0,Data not available
Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Karrey)  ,4.5,349,0,Data not available
"Lymio Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Beach Blue,Red,Rama)  ",4.5,349,0,Data not available
GRECIILOOKS Casual Shirt for Men| Shirts for Men| Mens Shirt| Printed Shirts for Men| Casual Shirts for Men| Floral Shirts for Men| Printed Beach Wear Men  ,4.9,379,0,Data not available
