name,stars,sell_price,mark_price,delivery_date
Silver's KIDS SIL-PEDAL COMBO-6 Aluminum Badminton Set  ,4.0,0,0,"Tomorrow, 23 March"
"Silver's Smash Combo-5 (2 Badminton Rackets, 3 Plastic Shuttlecock)  ",3.2,0,0,"Tomorrow, 23 March"
Yonex ZR 100 Light Aluminium Badminton Racquet with Full Cover | Made in India(Set of 1) | Blue  ,4.0,0,750,"Tomorrow, 23 March"
Merphin Pro White Feather Badminton Shuttle Cock with Heavy Cork and Excellent Flite for Beginner to Advance Level (10 Piece Box)  ,3.8,295,649,"Wednesday, 29 March"
YONEX ZR 100 Light Aluminium Badminton Racquet with Full Cover (Black/Red) - Set of 2  ,4.1,0,0,Data not available
Thrax Astra Series Fabric Badminton Kit Bag (Black and Blue)  ,4.5,1350,2400,"Wednesday, 29 March"
Men's Navy Blue Polyurethane Badminton Shoes - 11  ,3.8,1099,1699,"Tuesday, 4 April"
"Transform Star 2.0 Badminton Racket,Orange (Unstrung)  ",3.0,2992,3990,Data not available
"YONEX Tech-501B Badminton Synthetic Over Grips (Multicolor, Pack of 5), Polyurethane  ",4.0,299,470,"Saturday, 25 March"
Silver's SB-100 Combo-5 (2 Badminton Rackets + 2 Pcs Plastic Shuttle) Red-Yellow  ,3.7,0,0,"Tomorrow, 23 March"
Yonex ZR 100 Light Aluminium Badminton Racquet Pack of 2 with Full Cover | Made in India  ,4.1,0,0,"Tomorrow, 23 March"
YONEX Nanoray 7000I G4-2U Aluminum Badminton Racquet with Full Cover (Blue)  ,4.0,1389,1925,"Sunday, 26 March"
Silver's FLEX COMBO-5 ( 2 Badminton RACKETS + 2 Pcs Plastic SHUTTLE ) Multicolor  ,3.8,0,0,"Tomorrow, 23 March"
"Silver's Kids SIL-Pedal Combo-5 Aluminum 2 Badminton Racquets and 3 Shuttlecocks Set, White  ",4.0,0,0,"Tomorrow, 23 March"
"Li-Ning XP-90-IV Strung Aluminum Badminton Racket With Free Head Cover(Set of 1,White/Silver)  ",3.9,0,0,"Tomorrow, 23 March"
"Nivia HY-Court 2.0 Badminton Shoe for Mens | Rubber Sole Shoes with Upper Mesh for Sports, Badminton, Volleyball, Squash, Table Tennis, Nonmarking Sole  ",4.2,1488,1860,Data not available
Li-Ning Bolt Neo (6 in 1) Nylon Badminton Shuttlecocks (Yellow)  ,4.1,620,799,"Monday, 27 March"
Li-Ning All Star Single Zip Badminton Polyester Kit Bag (Black)  ,4.1,0,0,"Tomorrow, 23 March"
Li-Ning GP-20 Overgrip Badminton Racket Grip - Assorted  ,4.0,319,499,"Monday, 27 March"
Vicky Bird Plus Badminton Shuttlecock Synthetic (Pack of 6)  ,3.9,0,0,"Tomorrow, 23 March"
"Thrax PX01 Badminton Kit Bag (Blue, Black and Lime)  ",4.4,1290,2800,"Wednesday, 29 March"
Victor A170JR Junior Badminton Shoes for Kids  ,not available,0,4150,"Wednesday, 29 March"
THRAX M Aello Series Badminton Kitbag Blue Lime  ,not available,1499,4400,"Wednesday, 29 March"
I2SERVICES 33FT. X 3.5 FT Badminton NET (Brown)  ,not available,299,799,"Monday, 27 March"
Thrax Astra Series Badminton Kit Bag (Black Blue and Lime)  ,4.4,1350,2400,"Wednesday, 29 March"
THRAX M Aello Series Badminton Kitbag Blue Lime  ,not available,1499,4400,"Wednesday, 29 March"
"Amazon Brand - Symactive High Performance Nylon Shuttle Cock, S333 - Pack of 6 (Yellow)  ",3.8,0,800,"Tomorrow, 23 March"
"Nivia Flash Shoe Badminton Shoes for Mens | Rubber Sole with PVC Synthetic Leather Upper and mesh for Sports, Badminton, Volleyball, Squash, Table Tennis | Toe Forepart Stitching on Sole Lip  ",4.0,1120,0,"Tomorrow, 23 March"
"YONEX Arcsaber 71 Light White Graphite Badminton Racquet with Free Full Cover (77 Grams, 30 lbs Tension)  ",4.3,2280,3390,"Tuesday, 28 March"
"YONEX Badminton Racquet Voltric Lite 25i (G4, 77 Grams, 30 lbs Tension)  ",4.0,1840,2990,"Tuesday, 28 March"
"Apacs Graphite Z-Ziggler Limited Edition Unstrung Badminton Racquet with Full Cover (Black Gold, 38 LBS)  ",4.1,0,0,"Tomorrow, 23 March"
"Silver's SB-100 Combo-2 (2 B/Badminton Rackets with 1 Full Cover + 2 Pcs Plastic Shuttle) Green-Blue, Steel  ",3.7,0,0,"Tomorrow, 23 March"
"Silver's Towel Superior Badminton Grip (Color May Vary, 1, 3-Inch)  ",3.6,69,75,"Tomorrow, 23 March"
"Yonex Graphite Badminton Racquet Muscle Power 29LT Black Grey (G4, 85-89.9 grams, 30 lbs Tension,Set of 1)  ",4.2,2689,4390,"Monday, 27 March"
"Strauss Maxis Pro Nylon Shuttlecock, (Pack of 6)  ",3.6,0,0,"Sunday, 26 March"
"Yonex GR 303 Aluminium Blend Badminton Racquet with Full Cover, Set of 2  ",3.9,0,0,"Saturday, 25 March"
Raisco 716F Nylon Special Four Side Tape Badminton Net (Brown)  ,4.0,293,999,"Monday, 27 March"
"Nivia Power Strike 2000 Badminton Shuttlecock for Sports Games, Matches, Training Shuttles for Outdoor Games for Everyday use, and Light Weight with Great Stability & Durability, (Pack of 6)  ",4.1,0,0,"Sunday, 26 March"
"Transform Star 2.0 Badminton Racket,Orange (Unstrung)  ",3.0,2992,3990,Data not available
Men's Navy Blue Polyurethane Badminton Shoes - 11  ,3.8,1099,1699,"Tuesday, 4 April"
Thrax Astra Series Fabric Badminton Kit Bag (Black and Blue)  ,4.5,1350,2400,"Wednesday, 29 March"
Yonex GR 303 Aluminum Blend Badminton Racquet with Full Cover  ,3.9,0,0,"Friday, 24 March"
"Li-Ning G-TEK 78 GX (AYPP294-5) Composite Strung Graphite Badminton Racquet with Free Cover(Blue/Gold,Set of 1)  ",3.6,0,0,"Monday, 27 March"
NONGI Badminton Shuttlecock Pack of 10 for Indoor Outdoor Badminton Sports Shuttle  ,3.7,0,0,"Saturday, 25 March"
"Li-Ning Hot Shot Triple Zipper Polyester Badminton Kit Bag (Navy, Silver)  ",4.3,1299,2290,"Tomorrow, 23 March"
"Amazon Brand - Solimo Badminton Kit Bag, Rapid, Blue  ",4.2,0,0,"Tomorrow, 23 March"
"YONEX Badminton Shoes Precision 2 | Ideal for Badminton,Squash,Table Tennis,Volleyball | Non-Marking Sole |TRU Cushion |Durable Skin Light|Synchro-Fit Insole|Toe Assist Shape|Hexa Grip |Light Weight|  ",4.3,3145,4890,"Saturday, 25 March"
"Jaspo GET Set Steel Badminton Racket Combo Set, Lightweight Badminton Racquet (1 Pair) with 5 pc Feather shuttlecocks and 1 Carrying Bag for Outdoor Games Suitable for Beginners  ",3.5,599,998,"Monday, 3 April"
Azone Pro Badminton Net (Brown)  ,4.1,199,499,"Thursday, 30 March"
"Silver's Junior Pedal Combo-5 (2 Badminton Rackets, 3 Plastic Shuttlecock)  ",4.5,0,0,Data not available
Vector X XPLODE Badminton Shoes for Men  ,3.7,0,0,"Friday, 24 March"
"Yonex Astrox Smash Graphite Badminton Racquet with free Full Cover (Ultra Light - 73 grams, 28 lbs Tension) | Rotational Generator System (Black Clear Orange)  ",4.1,2449,4190,"Tuesday, 28 March"
LI-NING Flash Triple Zipper Polyester Badminton Kit Bag  ,4.3,1618,2790,"Tomorrow, 23 March"
"Thrax PX01 Badminton Kit Bag (Blue, Black and Lime)  ",4.4,1290,2800,"Wednesday, 29 March"
Victor A170JR Junior Badminton Shoes for Kids  ,not available,0,4150,"Wednesday, 29 March"
THRAX M Aello Series Badminton Kitbag Blue Lime  ,not available,1499,4400,"Wednesday, 29 March"
Thrax Astra Series Badminton Kit Bag (Black Blue and Lime)  ,4.4,1350,2400,"Wednesday, 29 March"
I2SERVICES 33FT. X 3.5 FT Badminton NET (Brown)  ,not available,299,799,"Monday, 27 March"
THRAX M Aello Series Badminton Kitbag Blue Lime  ,not available,1499,4400,"Wednesday, 29 March"
OXXO Premium Badminton Kitbag with. Double Zipper Compartments and Shoe Compartment (Black/Gold)  ,4.3,599,1399,"Saturday, 25 March"
Li-Ning Swift X100 Nylon Shuttlecock  ,3.7,349,869,"Tomorrow, 23 March"
YONEX Nanoray 6000I G4-U Aluminum Badminton Racquet with Full Cover (Red)  ,3.9,1459,1750,"Sunday, 26 March"
NONGI 200 Plastic Badminton Shuttlecock Pack of 5  ,3.6,0,0,"Saturday, 25 March"
