celeb_id,celeb_name,profession,famous_for,img_link,profile_link
nm3856316,Zoe Chao,Actress,Love Life,"https://m.media-amazon.com/images/M/MV5BNjQ1YzE4YzctOTU1Ni00MGY2LThiMDktOGJjN2E1YjFhNDg2XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3856316
nm0538261,Austin Majors,Actor,Treasure Planet,"https://m.media-amazon.com/images/M/MV5BMTg3NzYxMzc0OF5BMl5BanBnXkFtZTcwNjAwMjUzMQ@@._V1_UY209_CR72,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0538261
nm0046112,Penn Badgley,Actor,You,"https://m.media-amazon.com/images/M/MV5BNGJmOTlmNWEtNDFmMy00MTQ2LThlZTItNzZlZGQzMzlhYjk4XkEyXkFqcGdeQXVyMTU3NjIxODkz._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0046112
nm3996999,Brandon Sklenar,Actor,The Offer,"https://m.media-amazon.com/images/M/MV5BZTliY2MwNjUtNTJjOS00YTcwLWE4MWYtNDM5Mjk2OTg5NmU3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3996999
nm1968873,Ed Speleers,Actor,Downton Abbey,"https://m.media-amazon.com/images/M/MV5BNDUzODI1NDE1Ml5BMl5BanBnXkFtZTgwMTAwODU5NzE@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1968873
nm0930898,Jesse Williams,Actor,The Cabin in the Woods,"https://m.media-amazon.com/images/M/MV5BZTk5NmVmNjUtYTFjMi00NGYzLWFiYjYtMzE0ZDE2YTNjM2I4XkEyXkFqcGdeQXVyODgwMzQ5Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0930898
nm7879234,Julia Schlaepfer,Actress,1923,"https://m.media-amazon.com/images/M/MV5BYWQ5YWU1MTYtYjIyYi00NTJiLWJkMDktNjY4YzRlZjc1ODYwXkEyXkFqcGdeQXVyNjA0NjcxMDE@._V1_UY209_CR5,0,140,209_AL_.jpg",https://www.imdb.com/name/nm7879234
nm0588096,Christa Miller,Actress,Scrubs,"https://m.media-amazon.com/images/M/MV5BMTQ4NDI4Nzc5N15BMl5BanBnXkFtZTYwNDIyNTcz._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0588096
nm4045841,Lamar Johnson,Actor,The Hate U Give,"https://m.media-amazon.com/images/M/MV5BYjJkZDcwZjgtMjM0OC00OWE5LWFiZDItNzVlNTE2Y2Q3NDJkXkEyXkFqcGdeQXVyMzk0MzE1MjI@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4045841
nm0424534,Ashley Johnson,Actress,The Avengers,"https://m.media-amazon.com/images/M/MV5BOTk5Njc3NzgxOV5BMl5BanBnXkFtZTgwMzgyMjIzNzE@._V1_UY209_CR86,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0424534
nm0058864,Murray Bartlett,Actor,The White Lotus,"https://m.media-amazon.com/images/M/MV5BMjA0NjY3NjI4MV5BMl5BanBnXkFtZTgwNTM4OTg5NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0058864
nm0002907,Alexander Skarsgård,Actor,The Legend of Tarzan,"https://m.media-amazon.com/images/M/MV5BMTY1MjQxNjEzOF5BMl5BanBnXkFtZTgwMTU5ODM2ODE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0002907
nm4965072,Lukas Gage,Actor,Euphoria,"https://m.media-amazon.com/images/M/MV5BNDg2OGIxOGEtMzQ5NS00MjUxLTlhMGYtNDUxZjMxZDU2ZTM5XkEyXkFqcGdeQXVyMTExNzQ3MzAw._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4965072
nm0000474,Michael Keaton,Actor,Birdman or (The Unexpected Virtue of Ignorance),"https://m.media-amazon.com/images/M/MV5BZmNiZmMzN2MtOTNkMy00YjA1LTg4NzktMWI4Njg1NzI3ODAyXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000474
nm0000129,Tom Cruise,Actor,Top Gun,"https://m.media-amazon.com/images/M/MV5BYTFlOTdjMjgtNmY0ZC00MDgxLThjNmEtZGIxZTQyZDdkMTRjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000129
nm0000207,Christina Ricci,Actress,Casper,"https://m.media-amazon.com/images/M/MV5BMjUzMzk5NzcyNV5BMl5BanBnXkFtZTcwNzQ1NjkzNw@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000207
