prof,awards,b_day,famous_for,b_place,height,parent
"Actor,Writer,Producer",44 wins & 102 nominations total,"April 3, 1961","The Nutty Professor,Dreamgirls,Coming to America,Shrek","Brooklyn, New York City, New York, USA",(1.78,Lillian Lynch
"Actor,Producer,Sound Department",35 wins & 64 nominations total,"January 7, 1971","The Hurt Locker,The Town,Wind River,The Avengers","Modesto, California, USA",(1.74,Valerie Renner (Tague)
"Actor,Writer,Director",2 wins & 3 nominations,"February 19, 1979","All the Money in the World,Broadchurch,Garrow's Law,The ABC Murders","Stockport, Cheshire, England, UK",1.85,Valerie Renner (Tague)
"Actress,Producer,Soundtrack",3 wins & 6 nominations total,"May 31, 1975","Half-Life 2,Half-Life 2: Episode One,The Last of Us,Half-Life 2: Episode Two","Okinawa, Japan",1.73,Valerie Renner (Tague)
"Actor,Producer,Writer",90 wins & 100 nominations total,"April 22, 1937","Chinatown,As Good as It Gets,The Departed,One Flew Over the Cuckoo's Nest","Neptune, New Jersey, USA",(1.77,June Frances Nicholson
"Actress,Additional Crew",1 win,"February 16, 1954","Killer Fish,Inner Sanctum,Inner Sanctum II,Lipstick","Portland, Oregon, USA",3,June Frances Nicholson
"Actress,Producer,Soundtrack",33 wins & 29 nominations,"April 30, 1985","Wonder Woman,Red Notice,Wonder Woman 1984,Death on the Nile","Rosh Ha'ayin, Israel",(1.78,Irit Gadot
"Actress,Producer",1 nomination,"February 12, 1986","Detroit: Become Human,Blair Witch,The Twilight Saga: Breaking Dawn - Part 2,The Following","Orange County, California, USA",1.63,Irit Gadot
"Actor,Writer",Mike Thornton,,"Private Practice,The Red Line,The Good Doctor,Away","Orange County, California, USA",1.88,Irit Gadot
"Actress,Producer,Writer",17 wins & 61 nominations,"July 18, 1980","Frozen,Veronica Mars,Frozen 2,Veronica Mars","Huntington Woods, Michigan, USA",1.55,Lorelei Bell (Frygier)
"Actor,Producer,Writer",3 wins & 5 nominations,"April 10, 1980","Sons of Anarchy,Pacific Rim,Children of Men,King Arthur: Legend of the Sword","Newcastle upon Tyne, Tyne and Wear, England, UK",3,Jane Hunnam (Bell)
Actress,,,"Generation,An Autumn Summer,The Young Wife,Lucky Fish",,,
"Actress,Writer,Director",7 wins & 14 nominations,"March 24, 1979","In a World...,No Escape,No Strings Attached,It's Complicated","New York City, New York, USA",1.73,Harvey Siegel
"Actress,Producer,Soundtrack",1 win & 6 nominations,"March 26, 1960","Dirty Dancing,Ferris Bueller's Day Off,Red Dawn,Kaze Tachinu","New York City, New York, USA",1.60,Joel Grey
"Actor,Writer,Producer",1 win & 2 nominations,"October 14, 1988","The Pacifier,Disconnect,House at the End of the Street,Chloe","Los Altos Hills, California, USA",(1.80,Bridgit Snyder
"Actor,Producer,Director",46 wins & 127 nominations total,"October 20, 1958","The Lord of the Rings: The Return of the King,Captain Fantastic,The Lord of the Rings: The Two Towers,Eastern Promises","Manhattan, New York City, New York, USA",(1.80,Grace Gamble Mortensen (Atkinson)
"Writer,Actor,Producer",20 wins & 80 nominations total,"October 22, 1962","Nobody,Better Call Saul,Mr. Show with Bob and David,Nebraska","Naperville, Illinois, USA",1.75,Barbara Odenkirk
Actress,5 wins & 17 nominations,"January 4, 2005","Logan,The Acolyte,His Dark Materials,Ana","Madrid, Spain",1.55,María Fernández Ache
"Actor,Producer,Writer",35 wins & 145 nominations total,"August 16, 1962","The Office,The 40 Year Old Virgin,Foxcatcher,The Big Short","Concord, Massachusetts, USA",1.75,Harriet Theresa Carell (Koch)
"Actress,Producer,Writer",5 wins & 4 nominations,"February 12, 1993","The In-Between,Secondhand Lions,Wizards of Waverly Place,Wizards of Waverly Place: The Movie","Arlington, Texas, USA",1.63,Christy Stone
"Actress,Director,Producer",3 wins & 7 nominations,"March 7, 1980","Orange Is the New Black,That '70s Show,The Hero,The Girl on the Train","Watchung, New Jersey, USA",(1.78,Marjorie Prepon (Coll)
"Actress,Stunts",,,"M3gan,Sweet Tooth,The Tank,The South Jersey Horror Podcast","Watchung, New Jersey, USA",(1.78,Marjorie Prepon (Coll)
"Actor,Producer,Executive",1 nomination,"June 10, 1978","The Core,Hustle & Flow,The New Guy,Road Trip","Nashville, Tennessee, USA",3,Debbie Qualls
"Actress,Producer,Writer",1 win & 13 nominations,"February 26, 1986","Warm Bodies,Lights Out,I Am Number Four,Hacksaw Ridge","Adelaide, South Australia, Australia",(1.64,Kevin Palmer
"Actress,Soundtrack",2 nominations,"October 29, 1985",Black Swan,"Bournemouth, Dorset, England, UK",1.68,Kevin Palmer
"Actress,Producer,Additional Crew",1 win & 3 nominations,"March 2, 1949","Star Trek: The Next Generation,Star Trek: Picard,Maze,Marker","Cuyahoga Falls, Ohio, USA",1.73,Veronica Gates
"Producer,Actor,Director",18 wins & 67 nominations total,"November 30, 1965","Tropic Thunder,Zoolander,Zoolander 2,The Secret Life of Walter Mitty","New York City, New York, USA",(1.67,Anne Meara
"Actress,Soundtrack",Ms. Perdita Weeks,"December 25, 1985","As Above, So Below,Hamlet,Ready Player One,Spice Girls","Cardiff, Wales, UK",1.63,Robin Weeks
Actress,1 nomination,"July 25, 1985","Shooter,The Boys,For All Mankind,The Flash","Luverne, Minnesota, USA",1.73,Robin Weeks
"Producer,Actor,Writer",17 wins & 97 nominations total,"July 16, 1967","Talladega Nights: The Ballad of Ricky Bobby,Anchorman 2: The Legend Continues,Anchorman: The Legend of Ron Burgundy,Blades of Glory","Irvine, California, USA",1.91,Betty Kay Ferrell (Overman)
"Actress,Producer,Soundtrack",1 nomination,June 27,"Run Fatboy Run,Kimi,All Hail King Julien,Slumberland","Kingston upon Thames, Surrey, England, UK",1.60,Karen de Beaufort
"Actor,Director,Producer",18 wins & 61 nominations total,"June 11, 1986","Honey Boy,The Peanut Butter Falcon,Fury,Transformers","Los Angeles, California, USA",(1.76,Jeffrey Craig LaBeouf
"Actor,Producer",4 wins & 6 nominations,"November 5, 1958","Terminator 2: Judgment Day,The Faculty,Fire in the Sky,The Marine","Marietta, Georgia, USA", (1.82,Nadine Patrick
"Actress,Producer,Director",5 wins & 14 nominations,"December 26, 1991","The Middle,Star vs. The Forces of Evil,Weeds,Veronica Mars","Los Angeles, California, USA",1.57,Nadine Patrick
"Actress,Music Department,Producer",10 wins & 18 nominations,"January 28, 1998","Sofia the First,Mr. Peabody & Sherman,Kiss Kiss Bang Bang,Modern Family","Los Angeles, California, USA",1.55,Crystal Workman
Actress,1 win & 4 nominations,"November 1, 1996","The Suicide Squad,Parque Mayer,Road House,Guardians of the Galaxy Vol. 3","Almada, Portugal",(1.68,Crystal Workman
Actress,1 win & 3 nominations,"February 6, 1985","Swamp Thing,Gotham,Crazy, Stupid, Love.,Teen Wolf","Detroit, Michigan, USA",1.73,Christine Reed
"Actress,Producer,Additional Crew",10 wins & 40 nominations,"July 26, 1973","Underworld: Evolution,Underworld,Van Helsing,Vacancy","Finsbury Park, London, England, UK",1.70,Judy Loe
"Actor,Producer,Director",17 wins & 89 nominations total,"January 14, 1969","Arrested Development,Bad Words,Zootopia,Juno","Rye, New York, USA",(1.80,Victoria Bateman
"Actress,Producer,Additional Crew",13 wins & 32 nominations total,"May 3, 1975","Ginger & Rosa,The Neon Demon,Bad Santa 2,Mad Men","Knoxville, Tennessee, USA",1.73,Robert Hendricks
"Actress,Director,Writer",6 wins & 7 nominations,"February 23, 1992","Ready or Not,Three Billboards Outside Ebbing, Missouri,Guns Akimbo,The Babysitter","Adelaide, South Australia, Australia",1.65,Simon Weaving
