tv_id,tv_name,release_year,ratings,series_type,episodes,certificate,duration,cast_id,cast_name,tagline,genre
tt3530232,Last Week Tonight with John Oliver,2014,8.8,TV Series,320,15,30,"nm1056659,nm0443286,nm2175486,nm0534115,nm1822045,nm0071304,nm11040374,nm2071482,nm0331906,nm4123829,nm1186970,nm0237222,nm0868283,nm0000123,nm3983364,nm0916005,nm0465664,nm0194829","John Oliver,David Kaye,Ryan Barger,Noel MacNeal,Alberto Bonilla,H. Jon Benjamin,Susan Evans,James Wojtal,Gilbert Gottfried,Kyle Ploof,Paul McGinnis,Rachel Dratch,Michael Torpey,George Clooney,Moujan Zolfaghari,Alex Webb,Thomas Kopache,Stephanie D'Abruzzo",Breaking news. Every Sunday.,"Comedy,History,News"
tt0108778,Friends,1994,8.8,TV Series,234,15,22,"nm0000098,nm0001073,nm0001435,nm0001455,nm0001612,nm0001710,nm0878837,nm0001285,nm0681943,nm0923909,nm0748620,nm0796235,nm0062636,nm0372961,nm0300096,nm0000633,nm0000610,nm0878768","Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,Matthew Perry,David Schwimmer,James Michael Tyler,Elliott Gould,Christina Pickles,Maggie Wheeler,Paul Rudd,Jane Sibbett,Helen Baxendale,Jessica Hecht,June Gable,Tom Selleck,Giovanni Ribisi,Aisha Tyler",You can never have enough Friends!,"Comedy,Romance"
tt2571774,Africa,2013,8.8,TV Mini Series,7,PG,360,"nm0041003,nm2486927,nm1003753,nm1651928,nm0289159,nm1652994,nm2223239,nm2140621,nm2462576,nm1652444,nm0112359,nm3197716,nm1564617,nm2755681,nm1700426,nm5419661,nm1268428,nm2297556","David Attenborough,Simon Blakeney,Bill Rudolph,Hugh Pearson,Mike Fox,Warwick Sloss,Matthew Wright,Justin Maguire,Justine Evans,James Aldred,Kate Broome,Hugh Miller,Mark Deeble,E.O. Wilson,Martyn Colbeck,Katrina Bartlam,Kevin Flay,Mohamed Hawash",No Taglines,Documentary
tt4742876,TVF Pitchers,2015,8.8,TV Mini Series,10,TV-MA,40,"nm3832707,nm2837311,nm3181771,nm1531547,nm7113970,nm8311745,nm6845062,nm9882116,nm3481909,nm11188256,nm11222960,nm7855139,nm9699133,nm2965625,nm10350769,nm7280695,nm7500576,nm3116470","Naveen Kasturia,Arunabh Kumar,Abhay Mahajan,Gopal Datt,Pranav Bhasin,Jasmeet Singh Bhatia,Jitendra Kumar,Shreya Singh,Ronjini Chakraborty,Vidushi Kaul,Saad Bilgrami,Ketaki Narayan,Luv Vispute,Madan Deodhar,Durin Das,Riddhi Dogra,Akanksha Thakur,Maanvi Gagroo",No Taglines,"Comedy,Drama"
tt1508238,Apocalypse: The Second World War,2009,8.8,TV Mini Series,6,TV-MA,312,"nm0440913,nm0000640,nm0381523","Mathieu Kassovitz,Martin Sheen,Rudolf Hess",No Taglines,"Documentary,History,War"
tt0063929,Monty Python's Flying Circus,1969,8.8,TV Series,45,PG,30,"nm0001037,nm0000092,nm0000416,nm0001385,nm0001402,nm0001589,nm0166470,nm0401019,nm7758679,nm0203349,nm1496201,nm0504449,nm0713212,nm0095665,nm0039090,nm0203935,nm0281003,nm0107968","Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin,Carol Cleveland,John Hughman,Monty Python,Ian Davidson,The Fred Tomlinson Singers,Frank Lester,Bob Raymond,Connie Booth,Lyn Ashley,Rita Davies,Maureen Flanagan,Peter Brett",And now for something completely digital...,Comedy
tt0472954,It's Always Sunny in Philadelphia,2005,8.8,TV Series,165,15,22,"nm0206359,nm0568390,nm0647698,nm1097351,nm0000362,nm1634944,nm0395196,nm2016157,nm0829620,nm0553036,nm3173904,nm1115741,nm1240415,nm0192003,nm0801051,nm1183102,nm0622558,nm0718642","Charlie Day,Rob McElhenney,Kaitlin Olson,Glenn Howerton,Danny DeVito,Mary Elizabeth Ellis,David Hornsby,Artemis Pebdani,Lynne Marie Stewart,Sandy Martin,David Zdunich,Lance Barber,Andrew Friedman,Gregory Scott Cummins,Jimmi Simpson,Nate Mooney,Michael Naughton,Catherine Reitman",Good [Crossed Out]. Clean [Crossed Out]. Fun.,Comedy
tt4934214,Taskmaster,2015,8.8,TV Series,139,15,47,"nm1829595,nm2640385,nm0996942,nm0380672,nm3898743,nm4244480,nm0203563,nm0850337,nm4735423,nm5219130,nm1697730,nm0045974,nm4731562,nm2093105,nm0990267,nm6399949,nm3438370,nm1480726","Greg Davies,Alex Horne,Kerry Godliman,Richard Herring,Lou Sanders,Ed Gamble,Alan Davies,Liza Tarbuck,James Acaster,Asim Chaudhry,Sian Gibson,David Baddiel,Daisy May Cooper,Desiree Burch,Sarah Kendall,Fern Brady,Bridget Christie,Frankie Boyle",No Taglines,"Comedy,Game-Show"
tt0081834,Das Boot,1985,8.8,TV Mini Series,6,TV-MA,293,"nm0001638,nm0344963,nm0921044,nm0071059,nm0783847,nm0851427,nm0496441,nm0562056,nm0388517,nm0643805,nm0748936,nm0270035,nm0725338,nm0076751,nm0834640,nm0065489,nm0774119,nm0376046","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,Martin Semmelrogge,Bernd Tauber,Erwin Leder,Martin May,Heinz Hoenig,Uwe Ochsenknecht,Claude-Oliver Rudolph,Jan Fedder,Ralf Richter,Joachim Bernhard,Oliver Stritzel,Konrad Becker,Lutz Schnell,Martin Hemme",When the hunters become the hunted.,"Drama,War"
tt0200276,The West Wing,1999,8.8,TV Series,155,12,44,"nm0000640,nm0000507,nm0005049,nm0817983,nm0925966,nm0597223,nm0771493,nm0384211,nm0732947,nm0280330,nm0539651,nm0000330,nm0916940,nm0614449,nm0205685,nm0005203,nm0240633,nm0809590","Martin Sheen,Rob Lowe,Allison Janney,John Spencer,Bradley Whitford,Janel Moloney,Richard Schiff,Dulé Hill,NiCole Robinson,Melissa Fitzgerald,Joshua Malina,Stockard Channing,Kim Webster,Kris Murphy,Timothy Davis-Reed,Mary McCormack,William Duffy,Peter James Smith",What is Next ?,Drama
tt0264235,Curb Your Enthusiasm,2000,8.8,TV Series,111,18,28,"nm0202970,nm0385644,nm0307531,nm0261435,nm1356578,nm0507659,nm0001101,nm0251872,nm1057133,nm0066098,nm1056219,nm0000407,nm2200310,nm2165686,nm0753246,nm0843100,nm0257613,nm0000506","Larry David,Cheryl Hines,Jeff Garlin,Susie Essman,J.B. Smoove,Richard Lewis,Ted Danson,Bob Einstein,Ashly Holloway,Shelley Berman,Antoinette Spolar,Vivica A. Fox,Carla Jeffery,Nick Nervies,Ann Ryerson,Wanda Sykes,Ellia English,Julia Louis-Dreyfus",Deep inside you know you're him.,Comedy
tt13675832,As If,2021,8.8,TV Series,32,No Certification,Not Available,"nm5831457,nm7946031,nm7705136,nm6895563,nm12317014,nm8874944,nm10029946,nm10612592,nm3719585,nm10464373,nm13267646,nm12201941,nm9624021,nm3619527,nm10695226,nm12201940,nm6234845,nm10012277","Feyyaz Yigit,Kivanç Kilinç,Ahmet Kürsat Öçalan,Ezgi Ay,Ümran Sakir,Celal Öztürk,Can Sertaç Adalier,Burcu Oktav,Özer Arslan,Eray Sel,Ozan Elatunterin,Mustafa Erkan,Burak Gunes,Ferda Isil,Kerem Akti,Rasim Can Günes,Ekrem Aral Tuna,Mehmet Tolga Girgin",No Taglines,Comedy
tt0072500,Fawlty Towers,1975,8.8,TV Series,12,PG,30,"nm0000092,nm0768795,nm0755133,nm0095665,nm0075326,nm0283148,nm0731513,nm0355363,nm0175560,nm0072483,nm5980352,nm0187754,nm0544860,nm0350372,nm0658244,nm0378237,nm0090124,nm0132631","John Cleese,Prunella Scales,Andrew Sachs,Connie Booth,Ballard Berkeley,Gilly Flower,Renee Roberts,Brian Hall,Terence Conoley,Elizabeth Benson,George Lee,Bernard Cribbins,André Maranne,Michael Gwynn,Geoffrey Palmer,Nicky Henson,Bruce Boa,Ken Campbell",No Taglines,Comedy
tt1831164,Leyla ile Mecnun,2011,8.8,TV Series,142,TV-PG,80,"nm1763577,nm1488529,nm1892960,nm0257826,nm2183200,nm1778124,nm2020015,nm1800339,nm2026873,nm4914365,nm1283182,nm3668200,nm4662725,nm3887303,nm2457274,nm7271419,nm2071705,nm5091989","Serkan Keskin,Ahmet Mümtaz Taylan,Cengiz Bozkurt,Köksal Engür,Osman Sonant,Ali Atay,Ege Tanman,Nalan Kuruçim,Engin Günay,Neslihan Aker,Istar Gökseven,Sebahat Adalar,Güliz Gençoglu,Safak Pekdemir,Sarp Aydinoglu,Mustafa Asik,Mehmet Usta,Onursal Yildirim",the story of those lost in their own desert,"Adventure,Comedy,Drama"
tt0112130,Pride and Prejudice,1995,8.8,TV Mini Series,6,U,327,"nm0000147,nm0000383,nm0363117,nm0768018,nm0824102,nm0926368,nm0094502,nm0531070,nm0108939,nm0151250,nm0732867,nm0525702,nm0051394,nm0779523,nm0205063,nm0288976,nm0796484,nm0500317","Colin Firth,Jennifer Ehle,Susannah Harker,Julia Sawalha,Alison Steadman,Benjamin Whitrow,Crispin Bonham-Carter,Polly Maberly,Lucy Briers,Anna Chancellor,Lucy Robinson,Adrian Lukis,David Bamber,Lucy Scott,Lucy Davis,Emilia Fox,Marlene Sidaway,Barbara Leigh-Hunt",No Taglines,"Drama,Romance"
tt0193676,Freaks and Geeks,1999,8.8,TV Series,18,15,44,"nm0004802,nm0197855,nm0290556,nm0505949,nm0736622,nm0781981,nm0771414,nm0048250,nm0280886,nm0005311,nm1516329,nm0052446,nm0020405,nm0353247,nm0582202,nm0578184,nm0791991,nm0503140","Linda Cardellini,John Francis Daley,James Franco,Samm Levine,Seth Rogen,Jason Segel,Martin Starr,Becky Ann Baker,Joe Flaherty,Busy Philipps,Jerome Elston Scott,Steve Bannos,Dave Allen,Sarah Hagan,Jerry Messing,Natasha Melnick,Stephen Lea Sheppard,Chauncey Leopardi",It's 1980 and this is what high school was like for the rest of us.,"Comedy,Drama"
tt0098936,Twin Peaks,1990,8.7,TV Series,30,15,47,"nm0001492,nm0648920,nm0000749,nm0000796,nm0000937,nm0001223,nm0000145,nm0296583,nm0005152,nm0338614,nm0569239,nm0620756,nm0001040,nm0731927,nm0395398,nm0001453,nm0323556,nm0201121","Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe",A town where everyone knows everyone and nothing is what it seems.,"Crime,Drama,Mystery"
tt0096548,Blackadder Goes Forth,1989,8.7,TV Series,6,15,175,"nm0000100,nm0733153,nm0000410,nm0491402,nm0570570,nm0321699,nm0001669,nm0562201,nm0658244,nm0362668,nm0249528,nm0296571,nm0909245,nm0088372,nm0180325,nm0254585,nm0321241,nm1740319","Rowan Atkinson,Tony Robinson,Stephen Fry,Hugh Laurie,Tim McInnerny,Gabrielle Glaister,Miranda Richardson,Rik Mayall,Geoffrey Palmer,Jeremy Hardy,Adrian Edmondson,Stephen Frost,Bill Wallis,Hugo Blick,Lee Cornes,Paul Mark Elliott,Jeremy Gittins,Russell Brook",No Taglines,"Comedy,War"
tt3398228,BoJack Horseman,2014,8.7,TV Series,77,18,25,"nm0004715,nm0781238,nm1555340,nm0666739,nm0006670,nm4033885,nm0646021,nm0046033,nm1102891,nm0652663,nm4369688,nm5478103,nm0799777,nm0001804,nm0005176,nm0000291,nm1785339,nm3715867","Will Arnett,Amy Sedaris,Alison Brie,Aaron Paul,Paul F. Tompkins,Adam Conover,Keith Olbermann,Diedrich Bader,Kristen Schaal,Patton Oswalt,Raphael Bob-Waksberg,Aparna Nancherla,J.K. Simmons,Stanley Tucci,Wendie Malick,Angela Bassett,Rami Malek,Stephanie Beatriz",Don't look back. You're not going that way.,"Animation,Comedy,Drama"
tt2085059,Black Mirror,2011,8.7,TV Series,23,15,60,"nm0487406,nm4789912,nm3948190,nm7379039,nm6651644,nm0666739,nm4696728,nm1527905,nm2257207,nm1239499,nm2017943,nm1564072,nm2288047,nm0358316,nm0397171,nm0531808,nm1813221,nm0751518","Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,Charles Babalola,Aaron Paul,Anjana Vasan,Toby Kebbell,Daniel Kaluuya,Rory Kinnear,Hayley Atwell,Lenora Crichlow,Daniel Rigby,Jon Hamm,Bryce Dallas Howard,Kelly Macdonald,Gugu Mbatha-Raw,Wyatt Russell",>> The future is bright./ (season 3),"Drama,Mystery,Sci-Fi"
tt2707408,Narcos,2015,8.7,TV Series,30,15,49,"nm0050959,nm0609944,nm2933542,nm2975962,nm2103508,nm7553526,nm0599509,nm0017343,nm3634819,nm0617622,nm0129865,nm1257208,nm1593407,nm0191442,nm1517518,nm1812459,nm0173997,nm7594525","Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,Paulina Gaitan,Juan Murcia,Jorge Monterrosa,Damián Alcázar,Francisco Denis,Raúl Méndez,Juan Sebastián Calero,Paulina García,Diego Cataño,Brett Cullen,Julián Díaz,Joanna Christie,Maurice Compte,María José Sanchez Real",There's no business like blow business. (Season 1),"Biography,Crime,Drama"
tt7660850,Succession,2018,8.7,TV Series,39,15,60,"nm1002609,nm0004051,nm0001085,nm0295334,nm0532193,nm0001688,nm3512758,nm0834989,nm0810397,nm0231436,nm4419771,nm0711058,nm2592482,nm0007814,nm0001770,nm1573892,nm2342888,nm8943180","Nicholas Braun,Brian Cox,Kieran Culkin,Peter Friedman,Matthew Macfadyen,Alan Ruck,Sarah Snook,Jeremy Strong,J. Smith-Cameron,Dagmara Dominczyk,Justine Lupe,David Rasche,Scott Nicholson,Hiam Abbass,Fisher Stevens,Arian Moayed,Rob Yang,Juliana Canfield",Take what's yours.,Drama
tt0214341,Dragon Ball Z,1989,8.7,TV Series,277,PG,24,"nm0364629,nm0754526,nm0573926,nm0770832,nm0458342,nm0238546,nm0833185,nm0618955,nm0113427,nm0901624,nm1694019,nm0921699,nm1035500,nm0229923,nm0607516,nm1195582,nm0170809,nm0186528","Doc Harris,Christopher Sabat,Scott McNeil,Sean Schemmel,Terry Klassen,Brian Drummond,Sonny Strait,Stephanie Nadolny,Don Brown,Tiffany Vollmer,Dale Kelly,Cathy Weseluck,Kyle Hebert,Michael Dobson,Kirby Morrow,Jillian Michaels,Ted Cole,Cynthia Cranz",The Saiyans have returned...,"Animation,Action,Adventure"
tt0353049,Chappelle's Show,2003,8.7,TV Series,33,15,22,"nm0152638,nm0712603,nm0997901,nm0614151,nm0107366,nm0080049,nm0669132,nm1285508,nm0055616,nm3536504,nm0593046,nm0600763,nm0246585,nm0091722,nm1330166,nm0859821,nm1331721,nm0122987","Dave Chappelle,Donnell Rawlings,Rudy Rush,Charlie Murphy,Neal Brennan,Yasiin Bey,Randy Pearlstein,Melle Powers,Greer Barnes,Blaire Reinhard,Yoshio Mita,Paul Mooney,Guillermo Diaz,William Bogert,Sophina Brown,Questlove,Bryan Olsen,Bill Burr",A new brand of comedy.,"Comedy,Music"
tt0388629,One Piece,1999,8.7,TV Series,33,12,24,"nm0849028,nm5719834,nm0065292,nm0645500,nm0945322,nm0620017,nm0386286,nm0649026,nm1513684,nm0945372,nm1042062,nm0946295,nm0645212,nm0160049,nm0754526,nm0833185,nm0425061,nm0619200","Mayumi Tanaka,Laurent Vernin,Tony Beck,Akemi Okamura,Kappei Yamaguchi,Kazuya Nakai,Hiroaki Hirata,Ikue Ôtani,Colleen Clinkenbeard,Yuriko Yamaguchi,Mahito Ôba,Kazuki Yao,Chikao Ôtsuka,Luci Christian,Christopher Sabat,Sonny Strait,Eric Vale,Chô",Set sail for One Piece!,"Animation,Action,Adventure"
tt0121220,Dragon Ball Z,1989,8.7,TV Series,291,PG,24,"nm0945881,nm1035500,nm0637586,nm0770832,nm0754526,nm0849028,nm0833185,nm0618955,nm0299192,nm0394690,nm0875442,nm0901624,nm0568772,nm0186528,nm0840721,nm0351338,nm0476223,nm0299228","Jôji Yanami,Kyle Hebert,Masako Nozawa,Sean Schemmel,Christopher Sabat,Mayumi Tanaka,Sonny Strait,Stephanie Nadolny,Toshio Furukawa,Ryô Horikawa,Hiromi Tsuru,Tiffany Vollmer,Mike McFarland,Cynthia Cranz,Hirotaka Suzuoki,Daisuke Gôri,Takeshi Kusao,Tôru Furuya",Here & back again ! Goku goes on ...... .,"Animation,Action,Adventure"
tt0074006,"I, Claudius",1976,8.7,TV Mini Series,13,15,669,"nm0001394,nm0000457,nm0680795,nm0000306,nm0048468,nm0879239,nm0269077,nm0703946,nm0001772,nm0907731,nm0573618,nm0378404,nm0925453,nm0146038,nm0924788,nm0730191,nm0235782,nm0084696","Derek Jacobi,John Hurt,Siân Phillips,Brian Blessed,George Baker,Margaret Tyzack,James Faulkner,Patricia Quinn,Patrick Stewart,Fiona Walker,Kevin McNally,Bernard Hepton,Sheila White,John Cater,Frances White,David Robb,Freda Dowie,Roger Bizley",Let all the poisons that lurk in the mud hatch out.,"Biography,Drama,History"
tt0121955,South Park,1997,8.7,TV Series,322,18,22,"nm0005295,nm0001778,nm0005002,nm0551065,nm0829181,nm0063872,nm0773791,nm0397990,nm0859027,nm0074834,nm1356343,nm8444897,nm0154074,nm0567143,nm1007177,nm0672330,nm1456471,nm0453996","Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,April Stewart,Adrien Beard,Eliza Schneider,Jennifer Howell,Jessica Makinson,Mary Kay Bergman,Omaira Coromoto Rivero,Betty Boogie Parker,Vernon Chatman,Kyle McCulloch,John 'Nancy' Hansen,Elisa Gabrielli,Kimberly Brooks,Jonathan Kimmel",Four boys. One f**ked up town.,"Animation,Comedy"
tt0384766,Rome,2005,8.7,TV Series,22,18,52,"nm0571727,nm0829032,nm0908116,nm0174403,nm0700856,nm0573862,nm2054115,nm0242026,nm0083162,nm0580014,nm0940245,nm0051394,nm1493547,nm0019681,nm0890055,nm0078136,nm1263986,nm0090196","Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,James Purefoy,Ian McNeice,Coral Amiga,Lindsay Duncan,Lidia Biondi,Tobias Menzies,Nicholas Woodeson,David Bamber,Chiara Mastalli,Manfredi Aliquo,Indira Varma,Suzanne Bertish,Max Pirkis,Lee Boardman",Before Spartacus: Blood Sand. Before Game of Thrones. There was Rome!,"Action,Drama,Romance"
tt3718778,Over the Garden Wall,2014,8.7,TV Mini Series,10,PG,22,"nm0000704,nm5242354,nm0001491,nm0000502,nm0708211,nm0428278,nm0000092,nm3372967,nm0429250,nm0831550,nm3322985,nm2936993,nm0001389,nm1430151,nm0000347,nm0001564,nm1715275,nm1192424","Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloyd,Samuel Ramey,Jack Jones,John Cleese,Emily Brundige,Shirley Jones,Fred Stoller,Cole Sanchez,Sam Marin,Chris Isaak,Janet Klein,Tim Curry,Bebe Neuwirth,Noureen DeWulf,Deborah Voigt",Will you take a peek?,"Animation,Short,Adventure"
tt0248654,Six Feet Under,2001,8.7,TV Series,63,18,60,"nm0470244,nm0355910,nm0175814,nm0024404,nm0135585,nm0820783,nm0341737,nm0532461,nm0005438,nm1519722,nm1519723,nm0000342,nm0000666,nm0004936,nm0001026,nm0420955,nm1519675,nm0642522","Peter Krause,Michael C. Hall,Frances Conroy,Lauren Ambrose,Freddy Rodríguez,Mathew St. Patrick,Rachel Griffiths,Justina Machado,Jeremy Sisto,Brenna Tosh,Bronwyn Tosh,James Cromwell,Lili Taylor,Ben Foster,Joanna Cassidy,Richard Jenkins,Giancarlo Rodriguez,Ed O'Ross",Every Day Above Ground Is A Good One.,"Comedy,Drama"
tt10986410,Ted Lasso,2020,8.7,TV Series,34,15,30,"nm0837177,nm2073429,nm0402360,nm2945137,nm1821446,nm0842596,nm4651633,nm1017334,nm8504865,nm6703520,nm6902944,nm6015110,nm9434831,nm3907801,nm0046183,nm8316037,nm0916037,nm5482846","Jason Sudeikis,Brett Goldstein,Brendan Hunt,Nick Mohammed,Hannah Waddingham,Jeremy Swift,Phil Dunster,Juno Temple,Toheeb Jimoh,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Adam Colborne,Bronson Webb,Kevin Garry",Out of His League,"Comedy,Drama,Sport"
tt2442560,Peaky Blinders,2013,8.7,TV Series,36,18,60,"nm0614165,nm2167957,nm2570706,nm0567031,nm0219329,nm6806440,nm3761798,nm0669667,nm6804376,nm0497970,nm3771184,nm1834115,nm7056012,nm2929682,nm0686029,nm0954981,nm0362766,nm6304865","Cillian Murphy,Paul Anderson,Sophie Rundle,Helen McCrory,Ned Dennehy,Finn Cole,Natasha O'Keeffe,Ian Peck,Harry Kirton,Packy Lee,Joe Cole,Annabelle Wallis,Kate Phillips,Aimee-Ffion Edwards,Tony Pitts,Benjamin Zephaniah,Tom Hardy,Jordan Bolger",The streets are theirs.,"Crime,Drama"
tt0118421,Oz,1997,8.7,TV Series,56,15,55,"nm0001368,nm0799777,nm0855564,nm0935921,nm0604420,nm0455767,nm0001549,nm0674782,nm0907708,nm0196185,nm0904967,nm0010999,nm0546306,nm0009716,nm0000703,nm0957257,nm0780070,nm0936001","Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters,George Morfogen,Terry Kinney,Rita Moreno,Harold Perrineau,Eamonn Walker,Craig muMs Grant,Luna Lauren Velez,Granville Adams,Tom Mardirosian,Kirk Acevedo,BD Wong,Chuck Zito,Philip Scozzarella,Scott William Winters",You're inside now.,"Crime,Drama,Thriller"
tt9432978,Kota Factory,2019,8.7,TV Series,10,12,45,"nm7802961,nm6845062,nm6845060,nm7287295,nm9925449,nm10609388,nm10319781,nm1741856,nm6875639,nm7839428,nm6875641,nm13330335,nm6429964,nm9577367,nm14462241,nm3833465,nm3632004,nm12967050","Mayur More,Jitendra Kumar,Ranjan Raj,Alam Khan,Revathi Pillai,Urvi Singh,Harish Peddinti,Ahsaas Channa,Sameer Saxena,Vaibhav Thakkar,Arun Kumar,Akdas Hayat,Abhishake Jha,Sachin Vidrohi,Op Jangid,Jyoti Gauba,Rajesh Kumar,Abhaya Sharma",No Taglines,"Comedy,Drama"
tt5753856,Dark,2017,8.7,TV Series,26,15,60,"nm3836977,nm0251526,nm3582197,nm1063597,nm1935952,nm0682960,nm0436965,nm4576436,nm0557908,nm2950365,nm0070802,nm3753575,nm0442307,nm5430982,nm0420889,nm6591953,nm0391105,nm2409219","Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,Jördis Triebel,Andreas Pietschmann,Stephan Kampwirth,Paul Lux,Oliver Masucci,Moritz Jahn,Peter Benedict,Gina Stiebitz,Deborah Kaufmann,Daan Lennard Liebrenz,Julika Jenkins,Carlotta von Falkenhayn,Dietrich Hollinderbäumer,Mark Waschke",No Taglines,"Crime,Drama,Mystery"
tt1910272,Steins;Gate,2011,8.7,TV Series,26,12,24,"nm1465001,nm1411540,nm2573928,nm3950075,nm2057312,nm2986974,nm0782840,nm4535080,nm0473873,nm0848801,nm2353731,nm2049893,nm1111054,nm4857862,nm0754526,nm3351936,nm1465020,nm2306698","Mamoru Miyano,Asami Imai,Kana Hanazawa,Ashly Burch,J. Michael Tatum,Trina Nishimura,Tomokazu Seki,Tyson Rinehart,Cherami Leigh,Yukari Tamura,Saori Gotô,Yû Kobayashi,Masaki Terasoma,Jessica Cavanagh,Christopher Sabat,Lindsay Seidel,Haruko Momoi,Ayano Yamamoto",The microwave is a time machine and the girl gets shot. Okarin sends another text. Nukes another banana.,"Animation,Comedy,Drama"
tt8111088,The Mandalorian,2019,8.7,TV Series,24,PG,40,"nm0050959,nm0001835,nm0002064,nm2322864,nm1708161,nm2442289,nm7306447,nm0741103,nm1859475,nm0607325,nm0001840,nm6884042,nm0352513,nm0781238,nm2646861,nm0000560,nm0001348,nm0169806","Pedro Pascal,Carl Weathers,Giancarlo Esposito,Chris Bartlett,Barry Lowin,Gina Carano,Leilani Shiu,Misty Rosas,Omid Abtahi,Temuera Morrison,Ming-Na Wen,Katy M. O'Brian,Rio Hackford,Amy Sedaris,Emily Swallow,Nick Nolte,Werner Herzog,Taika Waititi",No Taglines,"Action,Adventure,Fantasy"
tt0367279,Arrested Development,2003,8.7,TV Series,84,12,22,"nm0000867,nm0148418,nm0005577,nm0004715,nm0790057,nm0355024,nm0189144,nm0001787,nm0910055,nm0000165,nm0001857,nm0063906,nm0591485,nm0926165,nm1502520,nm0000893,nm0279545,nm0051469","Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,Alia Shawkat,Tony Hale,David Cross,Jeffrey Tambor,Jessica Walter,Ron Howard,Henry Winkler,John Beard,Liza Minnelli,Mae Whitman,Justin Grant Wade,Ed Begley Jr.,Isla Fisher,Maria Bamford",Get Arrested,Comedy
tt1190634,The Boys,2019,8.7,TV Series,26,18,60,"nm0881631,nm4425051,nm1102278,nm3929195,nm1900772,nm0022306,nm2003700,nm6150071,nm7232332,nm1756121,nm1069800,nm2281371,nm4707628,nm6970024,nm0732309,nm2251731,nm2068715,nm7805172","Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,Jessie T. Usher,Laz Alonso,Chace Crawford,Tomer Capone,Karen Fukuhara,Nathan Mitchell,Dominique McElligott,Colby Minifie,Claudia Doumit,Nneka Elliott,Laila Robins,Aya Cash,Katy Breier,Cameron Crovetti",Never Meet Your Heroes,"Action,Comedy,Crime"
tt5687612,Fleabag,2016,8.7,TV Series,12,15,27,"nm3564817,nm5427486,nm1469236,nm5082535,nm0665473,nm1443368,nm0778831,nm2369260,nm3198781,nm0219465,nm5857152,nm3664502,nm3455151,nm0269909,nm2361583,nm0362961,nm2653929,nm0173221","Phoebe Waller-Bridge,Sian Clifford,Olivia Colman,Jenny Rainsford,Bill Paterson,Brett Gelman,Andrew Scott,Hugh Skinner,Ben Aldridge,Hugh Dennis,Jamie Demetriou,Kae Alexander,Anthony Welsh,Ray Fearon,Christian Hillborg,David Hargreaves,Angus Imrie,Christopher Colquhoun",No Taglines,"Comedy,Drama"
tt0096697,The Simpsons,1989,8.7,TV Series,744,15,22,"nm0144657,nm0004813,nm0733427,nm0001413,nm0810379,nm0000279,nm0370788,nm0534134,nm0744648,nm0249283,nm0927293,nm0853122,nm0908761,nm0724656,nm0367005,nm0001505,nm0246373,nm0005606","Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,Yeardley Smith,Hank Azaria,Pamela Hayden,Tress MacNeille,Maggie Roswell,Chris Edgerly,Karl Wiedergott,Russi Taylor,Marcia Wallace,Kevin Michael Richardson,Phil Hartman,Joe Mantegna,Alex Désert,Maurice LaMarche","On Your Marks, Get Set, D'Oh!","Animation,Comedy"
tt4508902,One Punch Man: Wanpanman,2015,8.7,TV Series,25,15,24,"nm4646711,nm5481013,nm5489754,nm6450743,nm5256487,nm2837894,nm1035500,nm5798209,nm1938624,nm5168315,nm7663764,nm0861558,nm3562961,nm1075459,nm0585640,nm3001460,nm1408690,nm2961464","Makoto Furukawa,Kaito Ishikawa,Max Mittelman,Zach Aguilar,Hiromichi Tezuka,Robbie Daymond,Kyle Hebert,Shôta Yamamoto,Yôji Ueda,Sean Chiplock,Yoshiaki Hasegawa,Kirk Thornton,Shin'ya Hamazoe,Bill Rogers,Hikaru Midorikawa,Ben Lepley,Ben Pronsky,Koichi Soma",No Taglines,"Animation,Action,Comedy"
