tv_id,tv_name,release_year,ratings,series_type,episodes,certificate,duration,cast_id,cast_name,tagline,genre
tt1475582,Sherlock,2010,9.0,TV Series,15,15,88,"nm1212722,nm0293509,nm0835939,nm0001291,nm1154764,nm0309693,nm0778831,nm0007893,nm0034877,nm0733172,nm0600439,nm0242026,nm2055297,nm1604939,nm0625085,nm0475336,nm0893243,nm0138232","Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Tanya Moodie,Lindsay Duncan,Yasmine Akram,Sian Brooke,David Nellist,Simon Kunz,Wanda Ventham,Timothy Carlton",The Game is On,"Crime,Drama,Mystery"
tt0052520,The Twilight Zone,1959,9.0,TV Series,156,12,51,"nm0785245,nm0566389,nm1031805,nm0877244,nm0853299,nm0035675,nm0001430,nm0580565,nm0026930,nm0641729,nm0680237,nm0593355,nm0216819,nm0521070,nm0572897,nm0259984,nm0677320,nm0003064","Rod Serling,Robert McCord,Jay Overholts,James Turley,Vaughn Taylor,David Armstrong,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown",No Taglines,"Drama,Fantasy,Horror"
tt1877514,The Vietnam War,2017,9.0,TV Mini Series,10,TV-MA,990,"nm0001075,nm9313512,nm9313542,nm9313524,nm0473166,nm0452926,nm0770967,nm2366651,nm0871149,nm1566008,nm3408091,nm0353875,nm13108672,nm9313518,nm9313521,nm4246809,nm6039188,nm9291502","Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,Joachim Król,Hans-Gerd Kilbinger,Ernst August Schepmann,Renate Fuhrmann,Josef Tratnik,Maximilian Hilbrand,Simon Roden,Bernt Hahn,Robert Steudtner,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh",There is no single truth in war.,"Documentary,History,War"
tt7678620,Bluey,2018,9.0,TV Series,161,U,7,"nm1256136,nm3148372,nm12544653,nm10406223,nm6441309,nm1877169,nm3556828,nm10451765,nm6466748,nm7267440,nm0295506,nm2587184,nm1324400,nm2787978,nm4113906,nm5806988,nm7479413,nm4816635","David McCormack,Melanie Zanetti,Ninthe van Schie,Brad Elliott,Dan Brumm,Myf Warhurst,Meg Washington,Chris Brumm,Georgia Simmons,Jacinda Papadopoulos,Colin Friels,Daley Pearson,Emily Taheny,Richard Jeffery,Leigh Sales,Frederique Sims,Jack Simmons,Francis Stanton",For real life?!,"Animation,Family"
tt0103359,Batman: The Animated Series,1992,9.0,TV Series,85,PG,23,"nm0175834,nm0504489,nm0956544,nm0368561,nm0182456,nm0015924,nm0000434,nm0596959,nm0001957,nm0815071,nm0006893,nm0000105,nm0676349,nm0675432,nm0931437,nm0646488,nm0743719,nm0454178","Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid",The Legend Begins,"Animation,Action,Adventure"
tt12392504,Scam 1992: The Harshad Mehta Story,2020,8.9,TV Series,10,15,54,"nm2363939,nm3916302,nm2493744,nm9703400,nm1979258,nm13330335,nm10258882,nm5014874,nm7360356,nm0536705,nm4002765,nm2365760,nm3253318,nm0304093,nm11976457,nm11177666,nm0706953,nm6442038","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Akdas Hayat,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker",The Harshad Mehta story.,"Biography,Crime,Drama"
tt11126994,Arcane,2021,8.9,TV Series,10,15,41,"nm2794962,nm1204760,nm1032853,nm0235261,nm3600780,nm0516003,nm1252685,nm0235960,nm13119438,nm1072611,nm2022559,nm2722066,nm1648520,nm3480246,nm5257564,nm0005079,nm1964186,nm0579914","Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Terri Douglas,Remy Hii,Harry Lloyd,Toks Olagundoye,Robin Atkin Downes,Arthur Ortiz,JB Blanc,Dave B. Mitchell,Amirah Vann,Katie Leung,Ella Purnell,Mia Sinclair Jenness,Josh Keaton,Mick Wingert,Scott Menville",Every legend has a beginning.,"Animation,Action,Adventure"
tt0296310,The Blue Planet,2001,8.9,TV Mini Series,8,E,389,"nm0041003,nm0000112,nm1167521","David Attenborough,Pierce Brosnan,Peter Scoones",No Taglines,Documentary
tt2560140,Attack on Titan,2013,8.9,TV Series,97,15,24,"nm2171329,nm0745310,nm2569233,nm3426369,nm2095800,nm2986974,nm1063029,nm5157463,nm1683003,nm0568772,nm0657139,nm2233310,nm0130774,nm0436778,nm2893431,nm2049893,nm0566147,nm3950075","Josh Grelle,Bryce Papenbrook,Yûki Kaji,Yui Ishikawa,Marina Inoue,Trina Nishimura,Kishô Taniyama,Clifford Chapin,Hiro Shimono,Mike McFarland,Romi Park,Matthew Mercer,Jessica Calvello,Hiroshi Kamiya,Yoshimasa Hosoya,Yû Kobayashi,Robert McCollum,Ashly Burch",The face of humanity's extinction. (season 1),"Animation,Action,Adventure"
tt0386676,The Office,2005,8.9,TV Series,188,15,22,"nm0136797,nm0278979,nm1024677,nm0933988,nm1534715,nm1580911,nm1526554,nm0281212,nm0809613,nm0105588,nm1386645,nm1145983,nm1411676,nm1159180,nm0509425,nm0732497,nm2608689,nm2046855","Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,Leslie David Baker,Brian Baumgartner,Angela Kinsey,Kate Flannery,Phyllis Smith,Creed Bratton,Oscar Nuñez,B.J. Novak,Mindy Kaling,Ed Helms,Paul Lieberstein,Craig Robinson,Ellie Kemper,Zach Woods",A comedy for anyone whose boss is an idiot.,Comedy
tt0303461,Firefly,2002,8.9,TV Series,14,12,44,"nm0277213,nm0868659,nm0876138,nm1072555,nm0000284,nm0821612,nm0536883,nm1132359,nm0322002,nm0376716,nm0791968,nm0265637,nm0725519,nm0168371,nm1374980,nm0767443,nm0411857,nm0415070","Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin,Jewel Staite,Sean Maher,Summer Glau,Ron Glass,Christina Hendricks,Mark Sheppard,Michael Fairman,Jeff Ricketts,Dennis Cockrum,Zac Efron,Doug Savant,Gregory Itzin,Carlos Jacott",Meet the most spaced-out crew in the galaxy.,"Adventure,Drama,Sci-Fi"
tt1806234,Human Planet,2011,8.9,TV Mini Series,8,PG,50,"nm0000457,nm3734430","John Hurt,Roger Munns",No Taglines,Documentary
tt2092588,Frozen Planet,2011,8.9,TV Mini Series,10,E,333,"nm0041003,nm0000285,nm1769336,nm0445430,nm2021106,nm1768412,nm1429183,nm1659819,nm1158179,nm1008283,nm4955632,nm1761192,nm4420572,nm1080418,nm1713809,nm2613148,nm0715893,nm2498733","David Attenborough,Alec Baldwin,Chadden Hunter,Michael Kelem,Ted Giffords,Mark Linfield,Didier Noirot,Jamie McPherson,Jeff Turner,Gavin Thurston,Niobe Thompson,Vanessa Berlowitz,Alun Hubbard,Doug Allan,Doug Anderson,Jeff Wilson,Dan Rees,Matthew Swarbrick",No Taglines,Documentary
tt0877057,Death Note,2006,8.9,TV Series,37,12,23,"nm1465001,nm0841448,nm1925154,nm0619828,nm0222175,nm0238546,nm0998211,nm0110167,nm0297873,nm0945322,nm1435774,nm1275101,nm0432228,nm1217394,nm1006313,nm0620017,nm0462017,nm0862703","Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,Trevor Devall,Brian Drummond,Naoya Uchida,Chris Britton,Keiji Fujiwara,Kappei Yamaguchi,Aya Hirano,Shannon Chan-Kent,Alessandro Juliani,Shidô Nakamura,John Murphy,Kazuya Nakai,Kiyoshi Kobayashi,French Tickner",Take down Yotsuba!,"Animation,Crime,Drama"
